Rowid,VALUE *,COUNT,FOR_CATEGORY,FOR_TYPE,FOR_CODE,COVER_CODE,HT_CODE,FOREST,STATE,FOR_SOURCE
0,1,121022073,Non-forest,Non-forest,0,6,6,0,Qld, 
1,2,5875,Non-forest,Non-forest,0,6,6,0, , 
2,3,17703,Native forest,Mangrove,63,3,2,1,Qld,Global Mangroves
3,4,335,Native forest,Mangrove,61,1,2,1,Qld,Global Mangroves
4,5,16724,Native forest,Rainforest,98,3,2,1,Qld,NVIS 6.0
5,6,4555,Native forest,Rainforest,96,3,1,1,Qld,NVIS 6.0
6,7,36033,Native forest,Acacia,5,2,2,1,Qld,NVIS 6.0
7,8,20070,Native forest,Casuarina,29,2,2,1,Qld,NVIS 6.0
8,9,3363,Native forest,Mangrove,60,3,1,1,Qld,Global Mangroves
9,10,16036,Native forest,Mangrove,59,2,1,1,Qld,Global Mangroves
10,11,659859,Native forest,Eucalypt Low Woodland,40,1,1,1,Qld,NVIS 6.0
11,12,66291,Native forest,Mangrove,58,1,1,1,Qld,Global Mangroves
12,13,824759,Native forest,Rainforest,97,2,2,1,Qld,Aus_For18
13,14,75450,Native forest,Rainforest,96,3,1,1,Qld,Aus_For18
14,15,606229,Native forest,Rainforest,98,3,2,1,Qld,Aus_For18
15,16,3704,Native forest,Mangrove,63,3,2,1,Qld,Aus_For18
16,17,4432714,Native forest,Eucalypt Medium Woodland,41,1,2,1,Qld,NVIS 6.0
17,18,185,Native forest,Mangrove,63,3,2,1,Qld,NVIS 6.0
18,19,23612574,Native forest,Eucalypt Medium Woodland,41,1,2,1,Qld,Aus_For18
19,20,788584,Native forest,Melaleuca,64,1,1,1,Qld,Aus_For18
20,21,49683,Native forest,Melaleuca,68,2,2,1,Qld,NVIS 6.0
21,22,106356,Native forest,Other native forest,73,1,1,1,Qld,NVIS 6.0
22,23,2289,Native forest,Mangrove,61,1,2,1,Qld,NVIS 6.0
23,24,1631,Native forest,Mangrove,62,2,2,1,Qld,NVIS 6.0
24,25,190807,Native forest,Mangrove,58,1,1,1,Qld,Aus_For18
25,26,431134,Native forest,Melaleuca,64,1,1,1,Qld,NVIS 6.0
26,27,748,Native forest,Mangrove,61,1,2,1,Qld,Aus_For18
27,28,1380998,Native forest,Eucalypt Medium Open,44,2,2,1,Qld,NVIS 6.0
28,29,24424,Native forest,Rainforest,97,2,2,1,Qld,NVIS 6.0
29,30,222156,Native forest,Melaleuca,68,2,2,1,Qld,Aus_For18
30,31,2167657,Native forest,Eucalypt Medium Open,44,2,2,1,Qld,Aus_For18
31,32,260176,Native forest,Other native forest,73,1,1,1,Qld,Aus_For18
32,33,76791,Native forest,Rainforest,24,1,1,1,Qld,Aus_For18
33,34,130078,Native forest,Acacia,2,1,2,1,Qld,NVIS 6.0
34,35,6176,Native forest,Mangrove,58,1,1,1,Qld,NVIS 6.0
35,36,78441,Native forest,Mangrove,59,2,1,1,Qld,Aus_For18
36,37,242,Native forest,Other native forest,74,2,1,1,Qld,NVIS 6.0
