YEAR,Hard Commodities,Logging,Natural Disturbances,Permanent Agriculture,Settlements & Infrastructure,Shifting Cultivation,Fire,TOTAL
2001,977,44370,1518,8302,2566,4,160003,217740
2002,1062,52232,1594,12041,3003,3,241210,311145
2003,1422,71617,2602,17262,6216,0,272584,371703
2004,1721,64055,1404,14616,4608,18,37095,123517
2005,2242,62982,2101,13763,4564,4,90092,175748
2006,2475,67311,2252,15864,3905,2,93258,185067
2007,3466,94168,4826,16399,4911,11,247053,370834
2008,3022,65890,1856,13378,4112,6,116251,204515
2009,2553,74781,3809,14280,3764,4,103146,202337
2010,3192,58453,1730,9206,2808,1,213701,289091
2011,2906,60144,5829,10105,2582,29,38488,120083
2012,2271,55725,2051,11128,3884,4,62844,137907
2013,2330,53931,2910,8095,3145,10,188020,258441
2014,2289,63583,3127,15232,3389,5,192347,279972
2015,2075,59326,2219,9201,3096,1,184856,260774
2016,4315,96683,2457,15745,4808,6,306370,430384
2017,3397,83451,2207,11753,3900,5,131705,236418
2018,2034,68004,2418,9219,2631,11,166087,250404
2019,2275,76803,7756,13547,3229,64,1556875,1660549
2020,2552,83763,4445,9142,2809,39,2253017,2355767
2021,1747,55804,1471,6862,2781,,191869,260534
2022,2338,39722,1057,5552,2467,2,67509,118647
2023,2396,31342,329,5024,1654,19,149847,190611
2024,1638,35311,720,5127,1640,8,136075,180519
2025,1433,29757,1036,4744,1474,7,345455,383906
